"ID","Sexe","condition","birthdate","parent","prop.lg","prop.lg.mat","prop.lg.pat","prop.ad.nid","epm1.ordre","epm1.n.essais","epm1.essai2","epm1.feces","epm1.poids","epm1.date","of1.ordre","of1.feces","of1.date","dlb1.ordre","dlb1.feces","epm2.ordre","epm2.feces","epm2.date","pm2.poids","of2.ordre","of2.feces","dlb2.ordre","dlb2.feces","X","session","pup","back_out","noze_out","tail1_out","tail2_out","dist_cm_back","lat_nose","lat_eye","lat_back","lat_tail1","lat_tail2","nb_out_nose","nb_out_eyeR","nb_out_eyeL","nb_out_back","duree_central","entrees_central","dist_cm_back_central","duree_cote_porte","dist_cm_back_cote_porte","duree_cote_opp_porte","dist_cm_back_cote_opp_porte","nb_rear","video"
"B1_2","f","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"3",1,"na",2,8.81,"14/03/22",4,3,"15/03/22",2,4,"2","3","08/04/22","11.62",6,"10",5,0,77,"1",2,87.2,107.36,75.44,75.68,485.663235947684,12.44,13,13.28,13.92,14.32,18,11,10,13,5.2,8,79.1748341269765,72.16,212.735672837677,13.16,78.8251469440328,15,"DLB_1_B1_2"
"B1_1","m","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"8",1,"na",0,9.18,"14/03/22",1,12,"15/03/22",9,4,"5","0","08/04/22","14.28",1,"1",7,0,228,"2",1,10.8,28.28,6.96,6.72,46.5868657760978,33.68,33.88,58.72,62.64,62.96,5,5,5,1,0,0,0,14.72,46.5868657760978,0,0,0,"DLB_2_B1_1"
"B1_7","m","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"2",1,"na",3,10,"14/03/22",6,6,"15/03/22",3,3,"7","1","08/04/22","13.21",2,"4",9,0,76,"1",7,32.2,67.28,31.28,29.72,296.28375802399,9.04,9.8,19.76,20.92,21.12,25,11,11,6,0.24,2,5.00020333270673,33.76,146.328265763321,4.56,46.5363618839806,4,"DLB_1_B1_7"
"B1_6","f","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"7",1,"na",3,9.24,"14/03/22",8,3,"15/03/22",8,5,"3","1","08/04/22","10.49",8,"6",4,2,225,"2",6,42.4,62.4,40.44,40.48,189.992478761022,27.76,27.84,28.32,29.04,29.32,14,2,2,4,0,0,0,40,109.929879682064,4.96,42.6829918385005,2,"DLB_2_B1_6"
"B1_9","f","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"9",1,"na",2,9.16,"14/03/22",7,8,"15/03/22",7,5,"1","4","08/04/22","11.7",9,"7",2,4,19,"2",9,34.76,85.52,27.68,27.64,188.11433095444,3.12,2.96,13.8,16.8,16.92,17,11,9,3,0,0,0,33.48,110.007508995002,3.84,39.9973087288388,2,"DLB_2_B1_9"
"B1_7","m","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"2",1,"na",3,10,"14/03/22",6,6,"15/03/22",3,3,"7","1","08/04/22","13.21",2,"4",9,0,222,"2",7,12.32,23.32,6.68,6.48,54.3579937620249,6.04,6.12,7.08,15.56,15.88,5,4,4,2,0,0,0,12.4,32.3242223261556,0,0,0,"DLB_2_B1_7"
"B1_9","f","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"9",1,"na",2,9.16,"14/03/22",7,8,"15/03/22",7,5,"1","4","08/04/22","11.7",9,"7",2,4,81,"1",9,60.52,91.44,60.6,60.4,303.057510252148,1.52,0.04,8.88,9.8,9.84,23,12,13,7,1.16,3,9.95213378684755,44.56,165.030687366999,3.24,41.6771955692567,5,"DLB_1_B1_9"
"B1_5","m","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"5",1,"na",2,7.77,"14/03/22",2,7,"15/03/22",4,4,"8","4","08/04/22","13.09",5,"3",8,2,235,"2",5,6.44,20.68,5.64,5.8,36.5698470293098,2.72,0.04,105.36,106.24,106.36,7,2,2,1,0,0,0,8.36,36.5698470293098,0,0,0,"DLB_2_B1_5"
"B1_5","m","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"5",1,"na",2,7.77,"14/03/22",2,7,"15/03/22",4,4,"8","4","08/04/22","13.09",5,"3",8,2,79,"1",5,89.28,121.12,85.64,84.72,773.318468285504,0.24,0.36,5.6,6.08,6.32,27,18,19,9,4.2,9,94.9521798412583,66.76,342.191691622597,15.68,153.233970915832,19,"DLB_1_B1_5"
"B1_1","m","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"8",1,"na",0,9.18,"14/03/22",1,12,"15/03/22",9,4,"5","0","08/04/22","14.28",1,"1",7,0,31,"1",1,71.64,104.88,63.36,63.32,520.242986662705,17.44,18.44,19.6,22.12,22.2,22,14,14,8,2.2,4,59.4752054433206,48.64,221.63801891763,18.72,126.482642526866,11,"DLB_1_B1_1"
